21	24.695	-24.059
14	24.695	-24.059
7	24.695	-24.059
-7	24.695	-24.059
-14	24.695	-24.059
-21	24.695	-24.059
-36	24.695	-24.059
-43	24.695	-24.059
-50	24.695	-24.059
50	17.466	-24.059
43	17.466	-24.059
36	17.466	-24.059
28	17.466	-24.059
21	17.466	-24.059
14	17.466	-24.059
7	17.466	-24.059
-7	17.466	-24.059
-14	17.466	-24.059
-21	17.466	-24.059
-28	17.466	-24.059
-36	17.466	-24.059
-43	17.466	-24.059
-50	17.466	-24.059
57	10.238	-24.059
50	10.238	-24.059
43	10.238	-24.059
36	10.238	-24.059
28	10.238	-24.059
21	10.238	-24.059
14	10.238	-24.059
7	10.238	-24.059
-7	10.238	-24.059
-14	10.238	-24.059
-21	10.238	-24.059
-28	10.238	-24.059
-36	10.238	-24.059
-43	10.238	-24.059
-50	10.238	-24.059
-57	10.238	-24.059
57	3.01	-24.059
50	3.01	-24.059
43	3.01	-24.059
28	3.01	-24.059
21	3.01	-24.059
-21	3.01	-24.059
-28	3.01	-24.059
-43	3.01	-24.059
-50	3.01	-24.059
-57	3.01	-24.059
65	-4.218	-24.059
57	-4.218	-24.059
50	-4.218	-24.059
28	-4.218	-24.059
21	-4.218	-24.059
14	-4.218	-24.059
-14	-4.218	-24.059
-21	-4.218	-24.059
-28	-4.218	-24.059
-50	-4.218	-24.059
-57	-4.218	-24.059
-65	-4.218	-24.059
65	-11.45	-24.059
57	-11.45	-24.059
43	-11.45	-24.059
21	-11.45	-24.059
14	-11.45	-24.059
-14	-11.45	-24.059
-21	-11.45	-24.059
-43	-11.45	-24.059
-57	-11.45	-24.059
-65	-11.45	-24.059
65	-18.68	-24.059
57	-18.68	-24.059
50	-18.68	-24.059
43	-18.68	-24.059
36	-18.68	-24.059
28	-18.68	-24.059
21	-18.68	-24.059
-21	-18.68	-24.059
-28	-18.68	-24.059
-36	-18.68	-24.059
-43	-18.68	-24.059
-50	-18.68	-24.059
-57	-18.68	-24.059
-65	-18.68	-24.059
65	-25.9	-24.059
57	-25.9	-24.059
50	-25.9	-24.059
43	-25.9	-24.059
36	-25.9	-24.059
28	-25.9	-24.059
21	-25.9	-24.059
-21	-25.9	-24.059
-28	-25.9	-24.059
-36	-25.9	-24.059
-43	-25.9	-24.059
-50	-25.9	-24.059
-57	-25.9	-24.059
-65	-25.9	-24.059
65	-33.13	-24.059
57	-33.13	-24.059
50	-33.13	-24.059
43	-33.13	-24.059
36	-33.13	-24.059
28	-33.13	-24.059
21	-33.13	-24.059
-21	-33.13	-24.059
-28	-33.13	-24.059
-36	-33.13	-24.059
-43	-33.13	-24.059
-50	-33.13	-24.059
-57	-33.13	-24.059
-65	-33.13	-24.059
65	-40.36	-24.059
57	-40.36	-24.059
50	-40.36	-24.059
43	-40.36	-24.059
36	-40.36	-24.059
28	-40.36	-24.059
-28	-40.36	-24.059
-36	-40.36	-24.059
-43	-40.36	-24.059
-50	-40.36	-24.059
-57	-40.36	-24.059
-65	-40.36	-24.059
57	-47.59	-24.059
50	-47.59	-24.059
43	-47.59	-24.059
36	-47.59	-24.059
-36	-47.59	-24.059
-43	-47.59	-24.059
-50	-47.59	-24.059
-57	-47.59	-24.059
57	-54.82	-24.059
50	-54.82	-24.059
43	-54.82	-24.059
-43	-54.82	-24.059
-50	-54.82	-24.059
-57	-54.82	-24.059
57	-62.04	-24.059
50	-62.04	-24.059
-50	-62.04	-24.059
-57	-62.04	-24.059
50	-69.27	-24.059
-50	-69.27	-24.059
50	-76.5	-24.059
-50	-76.5	-24.059
14	68.064	-16.831
7	68.064	-16.831
-7	68.064	-16.831
-14	68.064	-16.831
28	60.836	-16.831
21	60.836	-16.831
14	60.836	-16.831
7	60.836	-16.831
-7	60.836	-16.831
-14	60.836	-16.831
-21	60.836	-16.831
-28	60.836	-16.831
36	53.608	-16.831
28	53.608	-16.831
21	53.608	-16.831
14	53.608	-16.831
7	53.608	-16.831
-7	53.608	-16.831
-14	53.608	-16.831
-21	53.608	-16.831
-28	53.608	-16.831
-36	53.608	-16.831
43	46.379	-16.831
36	46.379	-16.831
28	46.379	-16.831
21	46.379	-16.831
7	46.379	-16.831
-7	46.379	-16.831
-21	46.379	-16.831
-28	46.379	-16.831
-36	46.379	-16.831
-43	46.379	-16.831
50	39.151	-16.831
43	39.151	-16.831
36	39.151	-16.831
28	39.151	-16.831
21	39.151	-16.831
7	39.151	-16.831
-7	39.151	-16.831
-21	39.151	-16.831
-28	39.151	-16.831
-36	39.151	-16.831
-43	39.151	-16.831
-50	39.151	-16.831
50	31.923	-16.831
43	31.923	-16.831
36	31.923	-16.831
28	31.923	-16.831
21	31.923	-16.831
7	31.923	-16.831
-7	31.923	-16.831
-21	31.923	-16.831
-28	31.923	-16.831
-36	31.923	-16.831
-43	31.923	-16.831
-50	31.923	-16.831
50	24.695	-16.831
43	24.695	-16.831
36	24.695	-16.831
21	24.695	-16.831
14	24.695	-16.831
7	24.695	-16.831
-7	24.695	-16.831
-14	24.695	-16.831
-21	24.695	-16.831
-36	24.695	-16.831
-43	24.695	-16.831
-50	24.695	-16.831
57	17.466	-16.831
50	17.466	-16.831
43	17.466	-16.831
36	17.466	-16.831
28	17.466	-16.831
21	17.466	-16.831
14	17.466	-16.831
7	17.466	-16.831
-7	17.466	-16.831
-14	17.466	-16.831
-21	17.466	-16.831
-28	17.466	-16.831
-36	17.466	-16.831
-43	17.466	-16.831
-50	17.466	-16.831
-57	17.466	-16.831
57	10.238	-16.831
50	10.238	-16.831
43	10.238	-16.831
36	10.238	-16.831
28	10.238	-16.831
21	10.238	-16.831
14	10.238	-16.831
7	10.238	-16.831
-7	10.238	-16.831
-14	10.238	-16.831
-21	10.238	-16.831
-28	10.238	-16.831
-36	10.238	-16.831
-43	10.238	-16.831
-50	10.238	-16.831
-57	10.238	-16.831
65	3.01	-16.831
57	3.01	-16.831
50	3.01	-16.831
43	3.01	-16.831
-43	3.01	-16.831
-50	3.01	-16.831
-57	3.01	-16.831
